OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
328739146,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,16,392664.34410016,143376.84095484,,DC
328739147,386,16th & Irving St NW,31122,38.928893,-77.03625,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,8,11,396856.808607,140113.28859173,,DC
328739148,387,16th & R St NW,31282,38.912652,-77.036278,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,9,396853.66429606,138310.40167951,,DC
328739149,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,13,395567.69234355,147971.8160368,,
328739150,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,7,391896.62547178,145776.283872,,
328739151,390,14th & L St NW,31283,38.903658,-77.031737,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,16,397247.15119261,137311.8474609,,DC
328739152,391,1st & O St NW,31519,38.908643,-77.012365,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,6,398927.54207227,137864.81714313,,DC
328739153,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,7,11,399293.83485771,129303.10478708,,DC
328739154,393,18th & C St NW,31284,38.893511,-77.041544,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,12,6,396395.98519699,136185.79095053,,DC
328739155,394,22nd & P ST NW,31285,38.909394,-77.048728,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,12,7,395773.70179205,137949.23962405,,DC
328739156,395,East West Hwy & 16th St,32056,38.995681,-77.038721,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,17,396645.69611866,147527.46678748,,
328739157,396,Royal St & Wilkes St,31903,38.799267,-77.0447,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,4,396117.07402725,125724.17677004,,
328739158,397,14th & Girard St NW,31123,38.925284,-77.032375,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,17,397192.66283204,139712.53240828,,DC
328739159,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,14,395721.93521693,128329.81125103,,
328739160,399,11th & O St NW,31286,38.90843,-77.02714,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,16,3,397646.04975824,137841.44968105,,DC
328739161,400,10th St & L'Enfant Plaza SW,31287,38.884323,-77.02601,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,19,397743.29626981,135165.35272935,,DC
328739162,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,8,11,394355.40758835,142142.03129017,,DC
328739163,402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,7,16,399728.03881641,136347.15809919,,DC
328739164,403,Radford St & Osage St,31908,38.828437,-77.086031,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,0,23,392529.85317524,128964.8036433,,
328739165,404,East Falls Church Metro / Sycamore St & 19th St N,31904,38.885321,-77.156427,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,12,5,386428.1319191,135287.44495049,,
328739166,405,Kennebec St & 11th St N,31905,38.880992,-77.135271,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,388262.94832495,134803.96063251,,
328739167,406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,9,394640.05213358,127217.4065506,,
328739168,407,Commonwealth Ave & E Monroe Ave,31913,38.820058,-77.062821,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,11,394544.55728453,128033.03642625,,
328739169,408,4th St & Madison Dr NW,31288,38.890493,-77.017253,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,8,22,398503.20865538,135850.09061145,,DC
328739170,409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,1,17,395716.10712295,135856.76917174,,DC
328739171,410,17th St & Independence Ave SW,31290,38.888097,-77.038325,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,9,396674.98675895,135584.67242635,,DC
328739172,411,Franklin St & S Washington St,31907,38.798133,-77.0487,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,14,5,395769.54149325,125598.47353608,,
328739173,412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,394442.60095851,130626.66931776,,
328739174,413,4th St & K St NW,31642,38.902406,-77.016006,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,14,9,398611.62453759,137172.50854187,,DC
328739175,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,13,2,394522.56553515,130390.05783003,,
328739176,415,Lee Center,31914,38.797557,-77.053766,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,15,0,395329.43195741,125534.78097568,,
328739177,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,5,395850.39700673,127886.82678479,,
328739178,417,Potomac Ave & Swann Ave,31916,38.829545,-77.047844,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,15,395845.72775465,129085.36771264,,
328739179,418,14th & Irving St NW,31124,38.928552,-77.032224,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,26,397205.88456877,140075.30373809,,DC
328739180,419,Vermont Ave & I St NW,31291,38.901136,-77.034451,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,16,397011.63477773,137031.97048551,,DC
328739181,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,1,24,393046.52732614,142438.02422189,,DC
