duration,member,start_hour,dc
631,1,20,1
563,1,8,1
504,1,15,1
722,1,15,1
1313,0,15,1
428,1,21,1
4033,0,11,0
421,1,9,0
1547,1,18,1
778,0,18,1
233,1,16,1
511,1,6,0
545,1,7,1
587,1,5,1
271,1,12,1
1297,1,15,1
238,1,1,1
571,1,22,1
1175,1,14,1
258,1,22,1
569,1,12,1
476,0,13,1
634,1,8,0
400,1,15,1
1073,0,19,1
1336,0,23,0
1508,0,10,1
262,1,4,1
588,1,12,1
212,1,2,0
1308,1,9,1
1619,0,11,1
412,1,16,1
1300,1,13,1
1306,1,9,1
537,1,18,1
265,1,15,1
747,1,21,1
406,1,15,1
376,1,9,1
204,1,13,1
1620,1,9,1
1606,0,22,1
1353,1,8,1
2202,0,18,1
2628,1,10,0
926,1,17,0
4176,0,14,1
824,1,15,1
624,1,5,1
999,1,18,1
1409,1,8,1
664,1,16,1
1178,1,14,1
318,1,6,1
511,1,8,1
509,1,20,1
1475,1,13,1
205,1,10,0
1195,1,19,1
806,1,14,0
740,1,23,1
2129,0,15,1
436,1,17,1
359,1,20,1
534,1,12,1
370,1,16,1
929,1,7,1
306,1,18,0
1212,0,14,0
290,1,14,0
1783,0,17,1
1138,1,17,1
683,1,19,1
1516,1,19,1
1081,1,18,1
749,1,13,1
735,1,14,1
641,1,14,1
3558,1,18,0
1787,0,14,1
160,1,18,1
635,1,15,1
697,1,11,1
5494,0,20,1
725,1,9,1
1907,1,21,1
526,1,16,0
126,1,14,1
1978,0,21,1
546,0,17,1
367,1,19,0
1753,1,17,0
425,1,18,1
355,1,17,1
712,1,17,1
528,1,8,1
486,1,18,1
256,1,9,1
787,1,9,1
1276,1,4,1
818,1,14,1
93,1,20,0
294,1,7,1
754,1,12,1
492,1,9,1
261,1,16,1
425,1,8,1
1988,0,16,1
322,1,18,1
5728,1,18,1
440,1,8,1
1142,1,8,1
3181,0,13,1
646,1,16,1
274,1,20,1
1408,0,7,1
220,1,21,1
733,1,19,1
1164,1,12,0
856,1,14,0
1160,0,10,1
872,1,9,1
1353,1,8,1
548,1,18,0
170,1,7,1
778,1,14,1
569,1,8,1
519,1,11,1
270,1,9,1
554,1,18,1
396,1,17,1
1313,1,17,1
838,1,8,1
820,1,18,1
2509,1,18,1
5824,0,14,1
1148,1,6,1
456,1,20,1
772,1,16,1
962,1,18,1
295,1,9,0
199,1,17,1
353,1,7,1
472,1,13,1
836,1,14,1
436,1,19,1
768,1,23,0
1946,0,21,1
1242,1,20,0
1075,0,18,1
208,1,12,1
426,0,22,1
3816,0,20,1
455,1,23,0
456,1,18,1
885,1,17,1
649,1,11,1
1460,1,22,0
680,1,8,1
633,0,16,1
710,1,12,1
678,1,8,1
714,1,20,1
497,1,17,1
364,1,18,1
1650,1,12,1
698,0,15,1
832,1,14,1
272,1,17,1
265,1,13,1
263,1,11,1
2500,1,10,1
504,1,16,1
137,1,16,1
1184,1,15,1
746,0,20,1
697,1,17,1
867,0,11,0
31227,1,11,0
429,1,17,1
8077,0,14,1
201,1,16,1
611,1,16,1
225,1,12,1
2040,0,14,1
608,1,17,1
493,1,9,1
1312,1,7,1
403,1,8,1
371,1,15,1
574,1,16,0
518,1,17,1
386,1,4,1
359,1,18,1
326,1,17,1
558,1,7,1
1584,1,19,1
193,1,13,1
275,1,8,1
468,1,9,1
2440,0,11,1
1900,1,12,1
7731,0,12,1
890,1,18,1
995,1,8,0
1831,0,12,1
558,1,16,1
1561,0,10,1
360,1,19,0
669,0,10,1
366,1,11,1
412,1,13,1
703,1,19,1
1057,1,19,1
640,1,19,1
2228,0,12,0
569,1,18,1
415,1,15,1
401,1,11,1
384,1,22,0
984,1,8,1
3833,0,16,1
824,1,9,1
375,1,2,1
213,1,12,1
1028,1,17,1
731,1,20,1
675,1,21,1
1446,0,18,0
805,1,22,1
530,1,17,1
320,1,16,1
1271,1,14,1
2301,0,8,1
367,1,10,0
770,1,20,1
1048,1,18,0
1031,1,18,1
1770,0,14,1
351,1,13,1
244,1,19,1
457,1,11,1
1571,1,13,1
385,1,20,1
1731,1,14,0
863,1,8,1
225,1,17,1
200,1,14,1
1995,0,10,1
1146,0,13,1
712,1,19,1
919,0,17,1
1156,1,22,1
186,1,17,1
426,1,16,1
892,1,17,1
349,1,17,1
4018,0,12,1
419,1,17,1
426,1,10,1
330,1,17,1
405,1,11,1
360,1,20,1
1484,1,13,1
381,1,18,1
452,1,15,1
267,1,6,0
1811,1,20,1
997,1,8,1
940,1,16,1
865,1,17,0
957,1,18,1
718,1,12,1
270,1,16,0
259,1,15,1
204,1,18,1
1239,1,18,1
409,1,21,1
310,1,13,1
222,1,8,1
1631,1,8,1
1134,0,16,1
945,1,13,1
527,1,15,1
282,1,17,1
176,1,14,1
7815,0,15,1
820,1,20,1
383,1,5,1
459,1,18,1
296,1,12,0
865,1,13,1
3093,1,19,1
215,1,1,1
1154,1,17,1
517,1,6,1
933,1,14,1
887,1,18,1
661,1,8,1
1726,1,9,1
622,1,7,1
1598,1,22,1
4488,1,13,0
328,1,20,1
875,1,16,1
810,1,12,1
407,1,15,1
1138,0,17,1
756,1,13,1
1590,0,19,1
687,1,22,0
901,0,16,1
552,0,12,1
118,1,16,1
525,1,17,1
923,1,8,1
302,1,15,0
879,1,8,0
3193,0,17,1
927,0,23,1
264,1,18,1
836,1,8,1
950,1,6,1
676,1,9,1
1468,1,17,1
583,1,23,1
672,1,16,1
886,1,11,0
352,1,18,1
1139,1,15,1
876,1,7,1
440,1,21,1
1014,1,7,1
1497,1,14,1
690,1,7,1
684,0,11,1
237,1,7,1
402,1,19,1
8663,0,13,1
750,1,7,1
245,1,12,1
2120,1,19,1
701,1,19,1
582,1,20,1
357,1,17,0
670,1,6,1
534,0,16,1
1254,0,11,1
554,1,20,1
414,1,15,1
1007,0,6,1
434,1,10,1
891,1,8,1
249,1,8,1
2549,0,15,1
807,1,17,1
3237,1,8,1
508,1,11,1
349,1,20,1
1226,0,11,1
432,1,8,1
677,1,21,0
261,1,11,1
3538,0,20,1
544,1,18,1
872,1,8,1
508,0,18,1
1159,1,14,1
1522,1,18,1
540,1,15,1
870,1,10,0
1056,1,7,1
411,1,14,0
3090,1,17,1
150,1,7,1
4034,0,14,1
1892,1,12,1
6499,0,14,1
786,1,13,1
1773,1,15,1
1551,1,11,1
793,1,20,1
798,1,8,1
251,1,13,1
355,1,7,1
482,1,19,1
921,1,21,1
10875,1,10,0
726,0,14,1
684,1,15,1
135,1,7,0
790,1,18,1
452,1,22,1
580,1,13,1
1281,1,8,1
868,1,10,1
569,0,20,1
6378,0,10,0
322,1,8,1
2401,0,20,1
135,1,12,1
385,1,8,0
1741,1,14,1
1710,1,20,1
989,1,19,1
552,1,15,0
306,1,17,1
1060,1,17,1
992,1,18,1
897,1,17,1
465,1,18,0
9155,0,14,0
11591,0,18,1
159,1,18,1
398,1,7,1
1459,1,7,1
243,1,16,1
454,1,6,1
2082,1,23,1
622,1,19,1
381,1,10,1
70,1,18,1
420,1,19,1
1042,1,10,1
1376,1,13,1
3964,0,10,1
1449,1,16,1
5259,0,21,1
479,1,8,1
203,1,11,1
688,1,13,1
454,1,17,0
832,1,8,1
1035,1,9,1
666,1,8,1
222,1,14,1
375,1,9,1
778,1,15,1
646,1,15,1
7394,0,18,1
1515,1,8,1
1815,1,17,1
6183,0,13,1
1109,1,17,1
372,1,18,0
427,1,16,1
2412,1,23,0
233,1,21,1
1454,1,7,1
1697,0,12,1
991,1,23,1
941,1,12,1
626,1,7,1
1279,1,9,1
155,1,6,1
581,1,10,1
346,1,15,1
864,1,6,1
1336,1,16,0
467,1,16,0
672,1,17,1
622,1,8,1
985,1,18,1
1383,1,7,1
13478,0,11,1
515,1,15,1
532,1,9,1
682,1,6,1
475,1,21,1
451,1,18,1
526,1,18,0
287,1,9,1
717,1,9,1
2986,0,16,1
717,1,12,0
644,1,7,1
463,1,17,0
137,1,8,1
764,0,10,1
3129,1,15,1
236,1,18,1
415,1,18,1
653,1,17,1
328,1,12,1
2867,1,17,1
1325,1,16,1
458,1,6,1
1918,1,19,0
412,1,8,0
514,1,6,1
454,1,19,1
1540,0,17,1
973,1,11,1
880,1,17,1
397,1,14,1
390,1,9,1
573,1,10,1
682,1,19,1
545,1,20,1
393,1,12,1
578,1,8,1
463,1,12,0
1219,1,14,1
1299,1,8,1
872,0,14,1
2965,0,11,0
401,1,19,1
1245,1,11,1
128,1,16,1
379,1,20,1
265,1,11,0
223,1,14,1
1938,0,12,0
2447,0,17,1
429,1,11,1
1801,1,4,0
228,1,19,1
908,1,1,1
401,1,9,1
5740,1,13,1
538,1,7,1
323,1,10,0
244,1,12,1
544,1,7,0
318,1,16,0
471,1,8,1
781,1,15,1
77,1,17,0
413,1,20,1
1293,0,14,1
262,1,10,1
170,1,6,1
1215,1,10,1
199,1,21,1
321,1,15,1
527,1,12,1
